fecha,hora,vuelo,origen,estado
2025-11-10,17:05,QTR6883,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-10,17:10,DLH1162,FRANKFURT (FRA),No informado
2025-11-10,17:10,THY1313,ESTAMBUL (IST),No informado
2025-11-10,17:20,VLG8921,BRUSELAS (BRU),No informado
2025-11-10,17:20,IBE5732,BRUSELAS (BRU),No informado
2025-11-10,17:25,RYR4631,MILAN/BERGAMO (BGY),No informado
2025-11-10,17:25,RYR4486,PALERMO /PUNTA RAISI (PMO),No informado
2025-11-10,17:30,EWG9538,DUSSELDORF (DUS),No informado
2025-11-10,17:30,TAP1094,LISBOA (LIS),No informado
2025-11-10,17:30,LOT4712,LISBOA (LIS),No informado
2025-11-10,17:30,RZO8732,LISBOA (LIS),No informado
2025-11-10,17:30,ACA2673,LISBOA (LIS),No informado
2025-11-10,17:30,AZU7352,LISBOA (LIS),No informado
2025-11-10,17:30,ETD2758,LISBOA (LIS),No informado
2025-11-10,17:30,VLG1175,GRAN CANARIA (LPA),No informado
2025-11-10,17:30,IBE5247,GRAN CANARIA (LPA),No informado
2025-11-10,17:35,LHX1842,MUNICH (MUC),No informado
2025-11-10,17:55,AFR1420,PARIS /CHARLES DE GAULLE (CDG),No informado
2025-11-10,18:00,RYR616,IBIZA (IBZ),No informado
2025-11-10,18:30,IBB5802,GRAN CANARIA (LPA),No informado
2025-11-10,18:35,RYR1131,NUREMBERG (NUE),No informado
2025-11-10,18:40,RYR641,MANCHESTER (MAN),No informado
2025-11-10,18:50,EJU7899,AMSTERDAM /SCHIPHOL (AMS),No informado
2025-11-10,18:55,RYR2217,MARRAKECH (RAK),No informado
2025-11-10,18:55,SWR2146,ZURICH (ZRH),No informado
2025-11-10,19:10,LGL763,LUXEMBURGO (LUX),No informado
2025-11-10,19:10,RYR7340,VIENA (VIE),No informado
2025-11-10,19:20,RYR2229,CRACOVIA (KRK),No informado
2025-11-10,19:30,TRA6331,AMSTERDAM /SCHIPHOL (AMS),No informado
2025-11-10,19:30,KLM2659,AMSTERDAM /SCHIPHOL (AMS),No informado
2025-11-10,19:30,VLG8155,PARIS /ORLY (ORY),No informado
2025-11-10,19:30,IBE5676,PARIS /ORLY (ORY),No informado
2025-11-10,19:45,AEA4011,PALMA DE MALLORCA (PMI),No informado
2025-11-10,19:45,VLG3103,TENERIFE NORTE-C. LA LAGUNA (TFN),No informado
2025-11-10,19:45,IBE5405,TENERIFE NORTE-C. LA LAGUNA (TFN),No informado
2025-11-10,20:00,IBE2376,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),No informado
2025-11-10,20:00,QTR8075,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),No informado
2025-11-10,20:00,VLG5776,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),No informado
2025-11-10,20:00,FIN5583,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),No informado
2025-11-10,20:00,WMT3411,CLUJ NAPOCA/SOMESENI (CLJ),No informado
2025-11-10,20:05,IBE2393,SEVILLA (SVQ),No informado
2025-11-10,20:05,VLG5793,SEVILLA (SVQ),No informado
2025-11-10,20:25,RYR2147,BRUSELAS /CHARLEROI (CRL),No informado
2025-11-10,20:30,RYR2301,BUDAPEST (BUD),No informado
2025-11-10,20:35,BEL3751,BRUSELAS (BRU),No informado
2025-11-10,20:35,WMT6045,ROMA /FIUMICINO (FCO),No informado
2025-11-10,20:35,RYR1971,TENERIFE SUR (TFS),No informado
2025-11-10,20:40,RYR620,BOLONIA (BLQ),No informado
2025-11-10,20:45,VLG3964,SEVILLA (SVQ),No informado
2025-11-10,20:45,IBE5552,SEVILLA (SVQ),No informado
2025-11-10,21:05,RYR3488,LANZAROTE CÉSAR MANRIQUE (ACE),No informado
2025-11-10,21:05,IBE2400,PALMA DE MALLORCA (PMI),No informado
2025-11-10,21:05,VLG5800,PALMA DE MALLORCA (PMI),No informado
2025-11-10,21:10,VOE3816,A CORUÑA (LCG),No informado
2025-11-10,21:20,TVS1054,PRAGA (PRG),No informado
2025-11-10,21:20,EWG3014,PRAGA (PRG),No informado
2025-11-10,21:40,RYR1770,MARSELLA (MRS),No informado
2025-11-10,21:45,RYR6415,PESCARA (PSR),No informado
2025-11-10,21:55,RYR7470,MILAN /MALPENSA (MXP),No informado
2025-11-10,22:00,RYR2646,OPORTO (OPO),No informado
2025-11-10,22:10,RYR1611,BARI /PALESE (BRI),No informado
2025-11-10,22:25,RYR1718,EINDHOVEN (EIN),No informado
2025-11-10,22:35,RYR2208,SEVILLA (SVQ),No informado
2025-11-10,22:40,VLG8473,LONDRES /GATWICK (LGW),No informado
2025-11-10,22:40,BAW8067,LONDRES /GATWICK (LGW),No informado
2025-11-10,22:40,IBE5697,LONDRES /GATWICK (LGW),No informado
2025-11-10,22:55,RYR6248,TREVISO/S.ANGELO (MIL) (TSF),No informado
2025-11-10,23:00,KLM1535,AMSTERDAM /SCHIPHOL (AMS),No informado
2025-11-10,23:10,AFR1492,PARIS /CHARLES DE GAULLE (CDG),No informado
2025-11-10,23:15,RYR6325,LONDRES /STANSTED (STN),No informado
2025-11-10,23:20,RYR999,ROMA /FIUMICINO (FCO),No informado
2025-11-10,23:30,RYR4663,MILAN/BERGAMO (BGY),No informado
2025-11-10,23:35,IBE2380,MALAGA-COSTA DEL SOL (AGP),No informado
2025-11-10,23:35,QTR8074,MALAGA-COSTA DEL SOL (AGP),No informado
2025-11-10,23:35,VLG5780,MALAGA-COSTA DEL SOL (AGP),No informado
2025-11-10,23:35,IBE2406,PALMA DE MALLORCA (PMI),No informado
2025-11-10,23:35,VLG5937,PALMA DE MALLORCA (PMI),No informado
2025-11-10,23:40,IBE2431,IBIZA (IBZ),No informado
2025-11-10,23:40,VLG5831,IBIZA (IBZ),No informado
2025-11-11,00:05,IBE1083,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
2025-11-11,00:05,VLG5312,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),No informado
