id,name,iata,icao,callsign,country,active
1643,Cardinal/Air Virginia,,FVA,AIR VIRGINIA,United States,false
1644,Cardolaar,,GOL,CARGOLAAR,Namibia,false
1645,Cards Air Services,,CDI,CARDS,Philippines,false
1646,Care Flight,,CFH,CARE FLIGHT,Australia,false
1647,Carga Aerea Dominicana,,CDM,CARGA AEREA,Dominican Republic,false
1648,Carga Express Internacional,,EST,CARGAINTER,Mexico,false
1650,Cargo Express,,MCX,MAURICARGO,Mauritania,false
1652,Cargo Link (Caribbean),,CLM,CARGO LINK,Barbados,false
1653,Cargo Three,,CTW,THIRD CARGO,Panama,false
1654,Cargoitalia,2G,CRG,WHITE PELICAN,Italy,false
1657,Cargoman,,CGM,HOTEL CHARLIE,Oman,false
1658,Carib Aviation,,DEL,RED TAIL,Antigua and Barbuda,false
1659,Carib Express,,BCB,WAVEBIRD,Barbados,false
1660,Caribair,,CBC,CARIBAIR,Dominican Republic,false
1661,Caribbean Air Cargo,,DCC,CARICARGO,Barbados,false
1662,Caribbean Air Transport,,CLT,CARIBBEAN,Netherlands,false
1663,Caribbean Airlines,BW,BWA,CARIBBEAN AIRLINES,Trinidad and Tobago,true
1664,Caribbean Airways,,IQQ,CARIBJET,Barbados,false
1665,Caribbean Express,,TLC,CARIB-X,United States,false
1666,Caribbean Star Airlines,8B,GFI,CARIB STAR,Antigua and Barbuda,false
1667,Caribintair,,CRT,CARIBINTAIR,Haiti,false
1668,Carill Aviation,,CVG,CARILL,United Kingdom,false
1669,Carpatair,V3,KRP,CARPATAIR,Romania,true
1670,Carranza,,CRR,CARRANZA,Chile,false
1671,Carroll Air Service,,ULS,ULSTER,United States,false
1672,Casement Aviation,,CMT,CASEMENT,United States,false
1673,Casino Airline,,CSO,CASAIR,United States,false
1674,Casper Air Service,,CSP,CASPER AIR,United States,false
1676,Castle Aviation,,CSJ,CASTLE,United States,false
1677,Cat Aviation,,CAZ,EUROCAT,Switzerland,false
1678,Catalina Flying Boats,,CBT,CATALINA AIR,United States,false
1679,Catex,,TEX,CATEX,France,false
1681,Caverton Helicopters,,CJR,CAVERTON AIR,Nigeria,false
