"fecha";"hora";"vuelo";"origen";"estado";"franja_horaria";"icao";"iata";"numero_vuelo"
"2025-11-10";"19:10";"RYR7340";"VIENA (VIE)";"No informado";"Noche";"RYR";"VIE";"7340"
"2025-11-10";"19:20";"RYR2229";"CRACOVIA (KRK)";"No informado";"Noche";"RYR";"KRK";"2229"
"2025-11-10";"19:30";"TRA6331";"AMSTERDAM /SCHIPHOL (AMS)";"No informado";"Noche";"TRA";"AMS";"6331"
"2025-11-10";"19:30";"VLG8155";"PARIS /ORLY (ORY)";"No informado";"Noche";"VLG";"ORY";"8155"
"2025-11-10";"19:45";"VLG3103";"TENERIFE NORTE-C. LA LAGUNA (TFN)";"No informado";"Noche";"VLG";"TFN";"3103"
"2025-11-10";"20:00";"IBE2376";"BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN)";"No informado";"Noche";"IBE";"BCN";"2376"
"2025-11-10";"20:00";"WMT3411";"CLUJ NAPOCA/SOMESENI (CLJ)";"No informado";"Noche";"WMT";"CLJ";"3411"
"2025-11-10";"20:05";"IBE2393";"SEVILLA (SVQ)";"No informado";"Noche";"IBE";"SVQ";"2393"
"2025-11-10";"20:25";"RYR2147";"BRUSELAS /CHARLEROI (CRL)";"No informado";"Noche";"RYR";"CRL";"2147"
"2025-11-10";"20:30";"RYR2301";"BUDAPEST (BUD)";"No informado";"Noche";"RYR";"BUD";"2301"
"2025-11-10";"20:35";"BEL3751";"BRUSELAS (BRU)";"No informado";"Noche";"BEL";"BRU";"3751"
"2025-11-10";"20:35";"RYR1971";"TENERIFE SUR (TFS)";"No informado";"Noche";"RYR";"TFS";"1971"
"2025-11-10";"20:40";"RYR620";"BOLONIA (BLQ)";"No informado";"Noche";"RYR";"BLQ";"620"
"2025-11-10";"20:45";"VLG3964";"SEVILLA (SVQ)";"No informado";"Noche";"VLG";"SVQ";"3964"
"2025-11-10";"21:05";"RYR3488";"LANZAROTE CÉSAR MANRIQUE (ACE)";"No informado";"Noche";"RYR";"ACE";"3488"
"2025-11-10";"21:05";"IBE2400";"PALMA DE MALLORCA (PMI)";"No informado";"Noche";"IBE";"PMI";"2400"
"2025-11-10";"21:10";"VOE3816";"A CORUÑA (LCG)";"No informado";"Noche";"VOE";"LCG";"3816"
"2025-11-10";"21:40";"RYR1770";"MARSELLA (MRS)";"No informado";"Noche";"RYR";"MRS";"1770"
"2025-11-10";"21:45";"RYR6415";"PESCARA (PSR)";"No informado";"Noche";"RYR";"PSR";"6415"
"2025-11-10";"21:55";"RYR7470";"MILAN /MALPENSA (MXP)";"No informado";"Noche";"RYR";"MXP";"7470"
"2025-11-10";"22:00";"RYR2646";"OPORTO (OPO)";"No informado";"Noche";"RYR";"OPO";"2646"
"2025-11-10";"22:10";"RYR1611";"BARI /PALESE (BRI)";"No informado";"Noche";"RYR";"BRI";"1611"
"2025-11-10";"22:25";"RYR1718";"EINDHOVEN (EIN)";"No informado";"Noche";"RYR";"EIN";"1718"
"2025-11-10";"22:35";"RYR2208";"SEVILLA (SVQ)";"No informado";"Noche";"RYR";"SVQ";"2208"
"2025-11-10";"22:40";"VLG8473";"LONDRES /GATWICK (LGW)";"No informado";"Noche";"VLG";"LGW";"8473"
"2025-11-10";"22:55";"RYR6248";"TREVISO/S.ANGELO (MIL) (TSF)";"No informado";"Noche";"RYR";"TSF";"6248"
"2025-11-10";"23:15";"RYR6325";"LONDRES /STANSTED (STN)";"No informado";"Noche";"RYR";"STN";"6325"
"2025-11-10";"23:20";"RYR999";"ROMA /FIUMICINO (FCO)";"No informado";"Noche";"RYR";"FCO";"999"
"2025-11-10";"23:30";"RYR4663";"MILAN/BERGAMO (BGY)";"No informado";"Noche";"RYR";"BGY";"4663"
"2025-11-10";"23:35";"IBE2406";"PALMA DE MALLORCA (PMI)";"No informado";"Noche";"IBE";"PMI";"2406"
"2025-11-10";"23:40";"IBE2431";"IBIZA (IBZ)";"No informado";"Noche";"IBE";"IBZ";"2431"
"2025-11-11";"00:25";"RYR5540";"TANGER (TNG)";"No informado";"Madrugada";"RYR";"TNG";"5540"
"2025-11-11";"00:30";"RYR2271";"SANTIAGO-ROSALÍA DE CASTRO (SCQ)";"No informado";"Madrugada";"RYR";"SCQ";"2271"
"2025-11-11";"08:55";"VLG8151";"PARIS /ORLY (ORY)";"No informado";"Mañana";"VLG";"ORY";"8151"
"2025-11-11";"09:05";"WZZ1337";"VARSOVIA (WAW)";"No informado";"Mañana";"WZZ";"WAW";"1337"
"2025-11-11";"09:15";"TRA6331";"AMSTERDAM /SCHIPHOL (AMS)";"No informado";"Mañana";"TRA";"AMS";"6331"
"2025-11-11";"09:20";"TRA5105";"EINDHOVEN (EIN)";"No informado";"Mañana";"TRA";"EIN";"5105"
"2025-11-11";"09:50";"EWG9538";"DUSSELDORF (DUS)";"No informado";"Mañana";"EWG";"DUS";"9538"
"2025-11-11";"10:05";"VLG5791";"SEVILLA (SVQ)";"No informado";"Mañana";"VLG";"SVQ";"5791"
"2025-11-11";"10:25";"VLG3950";"PALMA DE MALLORCA (PMI)";"No informado";"Mañana";"VLG";"PMI";"3950"
"2025-11-11";"10:40";"WMT3185";"BUCAREST (OTP)";"No informado";"Mañana";"WMT";"OTP";"3185"
"2025-11-11";"10:50";"RYR2229";"CRACOVIA (KRK)";"No informado";"Mañana";"RYR";"KRK";"2229"
"2025-11-11";"10:55";"RYR952";"PISA / GALILEO GALILEI (PSA)";"No informado";"Mañana";"RYR";"PSA";"952"
"2025-11-11";"11:00";"IBE2433";"IBIZA (IBZ)";"No informado";"Mañana";"IBE";"IBZ";"2433"
"2025-11-11";"11:05";"RYR6423";"BOLONIA (BLQ)";"No informado";"Mañana";"RYR";"BLQ";"6423"
"2025-11-11";"11:45";"VLG5713";"BILBAO (BIO)";"No informado";"Mañana";"VLG";"BIO";"5713"
"2025-11-11";"12:05";"RYR2206";"SEVILLA (SVQ)";"No informado";"Tarde";"RYR";"SVQ";"2206"
"2025-11-11";"12:40";"AUA431";"VIENA (VIE)";"No informado";"Tarde";"AUA";"VIE";"431"
