Año,Mes,País,Compañía,ICAO,Pasajeros,Vuelos,Ratio_Pax_Vuelo
2023,6,ITALIA,RYANAIR DAC,RYR,52888,295,179.28
2023,10,ESPAÑA,RYANAIR DAC,RYR,50399,309,163.1
2023,4,ESPAÑA,RYANAIR DAC,RYR,49679,292,170.13
2023,12,ITALIA,RYANAIR DAC,RYR,46235,269,171.88
2023,3,ITALIA,RYANAIR DAC,RYR,43356,245,176.96
2023,11,ITALIA,RYANAIR DAC,RYR,41918,242,173.21
2023,1,ITALIA,RYANAIR DAC,RYR,40126,229,175.22
2023,8,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,40042,236,169.67
2023,7,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,38585,239,161.44
2023,2,ITALIA,RYANAIR DAC,RYR,37183,207,179.63
2023,3,ESPAÑA,RYANAIR DAC,RYR,34634,217,159.6
2023,12,ESPAÑA,RYANAIR DAC,RYR,33833,211,160.35
2023,9,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,33336,212,157.25
2023,6,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,33309,216,154.21
2023,1,ESPAÑA,RYANAIR DAC,RYR,30748,187,164.43
2023,10,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,30667,208,147.44
2023,11,ESPAÑA,RYANAIR DAC,RYR,30143,182,165.62
2023,4,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,29800,199,149.75
2023,5,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,29190,211,138.34
2023,2,ESPAÑA,RYANAIR DAC,RYR,26463,164,161.36
2023,12,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,26360,179,147.26
2023,3,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,26120,173,150.98
2023,10,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,25758,414,62.22
2023,11,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,25002,165,151.53
2023,9,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,23651,389,60.8
2023,3,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,23449,355,66.05
2023,4,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,23120,389,59.43
2023,7,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,22710,374,60.72
2023,5,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,22568,401,56.28
2023,11,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,21821,353,61.82
2023,2,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,19959,316,63.16
2023,9,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,19784,116,170.55
2023,10,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,19723,115,171.5
2023,8,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,19596,295,66.43
2023,2,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,19508,135,144.5
2023,4,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,19237,109,176.49
2023,6,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,19192,313,61.32
2023,7,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,19081,108,176.68
2023,6,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,18858,112,168.38
2023,12,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,18742,325,57.67
2023,5,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,18697,112,166.94
2023,7,REINO UNIDO,RYANAIR DAC,RYR,18468,102,181.06
2023,8,REINO UNIDO,RYANAIR DAC,RYR,18179,101,179.99
2023,1,ESPAÑA,AIR NOSTRUM L.A. MEDITERRANEO,ANE,18107,331,54.7
2023,8,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,17736,104,170.54
2023,1,ESPAÑA,"VUELING AIRLINES, S.A.",VLG,17499,138,126.8
2023,10,REINO UNIDO,RYANAIR DAC,RYR,17197,105,163.78
2023,8,ESPAÑA,AIR EUROPA,AEA,17174,124,138.5
2023,8,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,17020,100,170.2
2023,9,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,16706,94,177.72
2023,10,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,16572,96,172.62
2023,7,ESPAÑA,AIR EUROPA,AEA,16459,124,132.73
2023,12,ESPAÑA,AIR EUROPA,AEA,16334,124,131.73
2023,10,ALEMANIA,RYANAIR DAC,RYR,16311,91,179.24
2023,8,ALEMANIA,RYANAIR DAC,RYR,16294,90,181.04
2023,7,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,16214,99,163.78
2023,9,ESPAÑA,AIR EUROPA,AEA,16007,120,133.39
2023,5,REINO UNIDO,RYANAIR DAC,RYR,15984,90,177.6
2023,6,ESPAÑA,AIR EUROPA,AEA,15874,120,132.28
2023,7,ALEMANIA,RYANAIR DAC,RYR,15637,87,179.74
2023,10,ESPAÑA,AIR EUROPA,AEA,15545,124,125.36
2023,7,SUIZA,SWISS INTERNATIONAL AIR LINES,SWR,15545,102,152.4
2023,9,REINO UNIDO,RYANAIR DAC,RYR,15504,89,174.2
2023,10,SUIZA,SWISS INTERNATIONAL AIR LINES,SWR,15434,98,157.49
2023,3,ESPAÑA,AIR EUROPA,AEA,15368,124,123.94
2023,4,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,15269,95,160.73
2023,6,REINO UNIDO,RYANAIR DAC,RYR,15255,86,177.38
2023,11,ALEMANIA,DEUTSCHE LUFTHANSA A.G.,DLH,15165,94,161.33
2023,3,HOLANDA,TRANSAVIA HOLLAND B.V,TRA,15129,86,175.92
2023,4,REINO UNIDO,RYANAIR DAC,RYR,15060,86,175.12
