"Icao_Aerolinea";"Iata_Aeropuerto";"Fecha";"Hora";"Vuelo";"Origen";"Estado";"Numero_Vuelo";"Nombre_Aeropuerto";"Ciudad_Aeropuerto";"País_Aeropuerto";"Icao_Aeropuerto";"Latitud";"Longitud";"Altitud";"Zona_Horaria";"Nombre_Aerolinea";"País_Aerolinea";"PAX_Medio_Aeropuerto";"PAX_Medio_Compania";"PAX_Medio_Total";"franja_horaria"
"EWG";"DUS";"2025-11-17";"17:30";"EWG9538";"DUSSELDORF (DUS)";"No informado";"9538";"Düsseldorf Airport";"Duesseldorf";"Germany";"EDDL";"51,2895010000000";"6,76678000000000";"147";"Europe/Berlin";"Eurowings";"Germany";"140,8780851063830";"107,819054054054050";"124,3485695802185";"Tarde"
"EWG";"DUS";"2025-11-21";"13:30";"EWG9538";"DUSSELDORF (DUS)";"No informado";"9538";"Düsseldorf Airport";"Duesseldorf";"Germany";"EDDL";"51,2895010000000";"6,76678000000000";"147";"Europe/Berlin";"Eurowings";"Germany";"140,8780851063830";"107,819054054054050";"124,3485695802185";"Tarde"
"EWG";"PRG";"2025-11-13";"21:20";"EWG3014";"PRAGA (PRG)";"No informado";"3014";"Václav Havel Airport Prague";"Prague";"Czech Republic";"LKPR";"50,1008000000000";"14,26000000000000";"1247";"Europe/Prague";"Eurowings";"Germany";"117,6272500000000";"107,819054054054050";"112,7231520270270";"Noche"
"EWG";"STR";"2025-11-16";"08:10";"EWG2530";"STUTTGART (STR)";"No informado";"2530";"Stuttgart Airport";"Stuttgart";"Germany";"EDDS";"48,6898994446000";"9,22196006775000";"1276";"Europe/Berlin";"Eurowings";"Germany";"128,7551111111111";"107,819054054054050";"118,2870825825826";"Mañana"
"EWG";"DUS";"2025-11-12";"13:05";"EWG9538";"DUSSELDORF (DUS)";"No informado";"9538";"Düsseldorf Airport";"Duesseldorf";"Germany";"EDDL";"51,2895010000000";"6,76678000000000";"147";"Europe/Berlin";"Eurowings";"Germany";"140,8780851063830";"107,819054054054050";"124,3485695802185";"Tarde"
"EWG";"DUS";"2025-11-11";"09:50";"EWG9538";"DUSSELDORF (DUS)";"No informado";"9538";"Düsseldorf Airport";"Duesseldorf";"Germany";"EDDL";"51,2895010000000";"6,76678000000000";"147";"Europe/Berlin";"Eurowings";"Germany";"140,8780851063830";"107,819054054054050";"124,3485695802185";"Mañana"
"EWG";"STR";"2025-11-13";"19:50";"EWG2530";"STUTTGART (STR)";"No informado";"2530";"Stuttgart Airport";"Stuttgart";"Germany";"EDDS";"48,6898994446000";"9,22196006775000";"1276";"Europe/Berlin";"Eurowings";"Germany";"128,7551111111111";"107,819054054054050";"118,2870825825826";"Noche"
"EWG";"DUS";"2025-11-16";"08:55";"EWG9538";"DUSSELDORF (DUS)";"No informado";"9538";"Düsseldorf Airport";"Duesseldorf";"Germany";"EDDL";"51,2895010000000";"6,76678000000000";"147";"Europe/Berlin";"Eurowings";"Germany";"140,8780851063830";"107,819054054054050";"124,3485695802185";"Mañana"
"EZS";"BSL";"2025-11-21";"16:45";"EZS1031";"BASEL /MULHOUSE (BSL)";"No informado";"1031";"EuroAirport Basel-Mulhouse-Freiburg Airport";"Mulhouse";"France";"LFSB";"47,5900000000000";"7,52916670000000";"885";"Europe/Paris";"EasyJet Switzerland";"Switzerland";"158,7137837837838";"154,662439024390238";"156,6881114040870";"Tarde"
"EZS";"GVA";"2025-11-20";"12:25";"EZS1371";"GINEBRA (GVA)";"No informado";"1371";"Geneva Cointrin International Airport";"Geneva";"Switzerland";"LSGG";"46,2380981445312";"6,10895013809204";"1411";"Europe/Paris";"EasyJet Switzerland";"Switzerland";"120,4093478260870";"154,662439024390238";"137,5358934252386";"Tarde"
