"Compañía";"Año";"Mes";"País";"Operaciones Totales";"Pasajeros Totales";"PAX_medio";"icao_aerolinea"
"AMERICAN AIRLINES INC.";"2024";"Abril      de 2024";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2022";"Febrero    de 2022";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2022";"Julio      de 2022";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2024";"Septiembre de 2024";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2022";"Junio      de 2022";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2022";"Marzo      de 2022";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2024";"Enero      de 2024";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2022";"Mayo       de 2022";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2025";"Agosto     de 2025";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2023";"Marzo      de 2023";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2022";"Noviembre  de 2022";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2023";"Agosto     de 2023";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2022";"Octubre    de 2022";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2022";"Septiembre de 2022";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2023";"Enero      de 2023";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2023";"Octubre    de 2023";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2024";"Mayo       de 2024";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2023";"Septiembre de 2023";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2025";"Mayo       de 2025";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2024";"Octubre    de 2024";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2024";"Agosto     de 2024";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2025";"Noviembre  de 2025";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2023";"Febrero    de 2023";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2024";"Diciembre  de 2024";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2023";"Julio      de 2023";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2025";"Febrero    de 2025";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2023";"Noviembre  de 2023";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2023";"Junio      de 2023";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2025";"Junio      de 2025";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2023";"Mayo       de 2023";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2024";"Noviembre  de 2024";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2024";"Junio      de 2024";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2025";"Septiembre de 2025";"ESPAÑA";"0,000";NA;NA;NA
"AMERICAN AIRLINES INC.";"2025";"Julio      de 2025";"ESPAÑA";"0,000";NA;NA;NA
