"icao_aerolinea";"iata";"fecha";"hora";"vuelo";"origen";"estado";"franja_horaria";"numero_vuelo";"id";"name";"city";"country";"icao_aeropuerto";"latitude";"longitude";"altitude";"timezone";"tz";"name_aerolinea";"country_aerolinea"
"EZY";"LGW";"2025-11-10";"11:10";"EZY8009";"LONDRES /GATWICK (LGW)";"No informado";"Mañana";"8009";"502";"London Gatwick Airport";"London";"United Kingdom";"EGKK";"51.148102";"-0.190278";"202";"0";"Europe/London";"easyJet";"United Kingdom"
"EZY";"LGW";"2025-11-09";"20:50";"EZY6499";"LONDRES /GATWICK (LGW)";"No informado";"Noche";"6499";"502";"London Gatwick Airport";"London";"United Kingdom";"EGKK";"51.148102";"-0.190278";"202";"0";"Europe/London";"easyJet";"United Kingdom"
"EZY";"LGW";"2025-11-09";"10:49";"EZY8009";"LONDRES /GATWICK (LGW)";"Finalizado";"Mañana";"8009";"502";"London Gatwick Airport";"London";"United Kingdom";"EGKK";"51.148102";"-0.190278";"202";"0";"Europe/London";"easyJet";"United Kingdom"
"EZY";"LGW";"2025-11-14";"10:25";"EZY8011";"LONDRES /GATWICK (LGW)";"No informado";"Mañana";"8011";"502";"London Gatwick Airport";"London";"United Kingdom";"EGKK";"51.148102";"-0.190278";"202";"0";"Europe/London";"easyJet";"United Kingdom"
"EZY";"LGW";"2025-11-11";"20:40";"EZY8013";"LONDRES /GATWICK (LGW)";"No informado";"Noche";"8013";"502";"London Gatwick Airport";"London";"United Kingdom";"EGKK";"51.148102";"-0.190278";"202";"0";"Europe/London";"easyJet";"United Kingdom"
"IBB";"LPA";"2025-11-10";"18:30";"IBB5802";"GRAN CANARIA (LPA)";"No informado";"Noche";"5802";"1054";"Gran Canaria Airport";"Gran Canaria";"Spain";"GCLP";"27.931900024414062";"-15.38659954071045";"78";"0";"Atlantic/Canary";"Binter Canarias";"Spain"
"IBB";"TFN";"2025-11-09";"12:10";"IBB5804";"TENERIFE NORTE-C. LA LAGUNA (TFN)";"En vuelo";"Tarde";"5804";"1057";"Tenerife Norte Airport";"Tenerife";"Spain";"GCXO";"28.4827003479";"-16.3414993286";"2076";"0";"Atlantic/Canary";"Binter Canarias";"Spain"
"IBB";"LPA";"2025-11-09";"18:25";"IBB5802";"GRAN CANARIA (LPA)";"No informado";"Noche";"5802";"1054";"Gran Canaria Airport";"Gran Canaria";"Spain";"GCLP";"27.931900024414062";"-15.38659954071045";"78";"0";"Atlantic/Canary";"Binter Canarias";"Spain"
"IBB";"TFN";"2025-11-14";"11:50";"IBB5804";"TENERIFE NORTE-C. LA LAGUNA (TFN)";"No informado";"Mañana";"5804";"1057";"Tenerife Norte Airport";"Tenerife";"Spain";"GCXO";"28.4827003479";"-16.3414993286";"2076";"0";"Atlantic/Canary";"Binter Canarias";"Spain"
"IBE";"BRU";"2025-11-14";"11:20";"IBE5732";"BRUSELAS (BRU)";"No informado";"Mañana";"5732";"302";"Brussels Airport";"Brussels";"Belgium";"EBBR";"50.901401519800004";"4.48443984985";"184";"1";"Europe/Brussels";"Iberia Airlines";"Spain"
