Fecha,Hora,Vuelo,Origen,Estado,Aerolinea,Pais_Aerolinea,Aeropuerto,Ciudad,Pais_Origen,IATA,ICAO_Cia,PAX_Estimado,Franja_Horaria
2025-11-10,11:20,TVF4620,PARIS /ORLY (ORY),No informado,Transavia France,France,Paris-Orly Airport,Paris,France,ORY,TVF,159,Mañana
2025-11-10,11:30,VLG8153,PARIS /ORLY (ORY),No informado,Vueling Airlines,Spain,Paris-Orly Airport,Paris,France,ORY,VLG,152,Mañana
2025-11-10,11:35,RYR2257,KOELN/BONN (CGN),No informado,RYANAIR DAC,Ireland,Cologne Bonn Airport,Cologne,Germany,CGN,RYR,170,Mañana
2025-11-10,11:35,RAM968,CASABLANCA /MOHAMED V (CMN),No informado,Royal Air Maroc,Morocco,Mohammed V International Airport,Casablanca,Morocco,CMN,RAM,33,Mañana
2025-11-10,11:35,AEA4007,PALMA DE MALLORCA (PMI),No informado,Air Europa,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,AEA,102,Mañana
2025-11-10,11:45,VOE2656,LYON (LYS),No informado,VOLOTEA Airways,Spain,Lyon Saint-Exupéry Airport,Lyon,France,LYS,VOE,150,Mañana
2025-11-10,11:50,IBE2402,PALMA DE MALLORCA (PMI),No informado,Iberia Airlines,Spain,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,IBE,1,Mañana
2025-11-10,12:00,AFR1416,PARIS /CHARLES DE GAULLE (CDG),No informado,Air France,France,Charles de Gaulle International Airport,Paris,France,CDG,AFR,80,Tarde
2025-11-10,12:05,SWR2140,ZURICH (ZRH),No informado,Swiss International Air Lines,Switzerland,Zürich Airport,Zurich,Switzerland,ZRH,SWR,134,Tarde
2025-11-10,12:10,DLH1160,FRANKFURT (FRA),No informado,Lufthansa,Germany,Frankfurt am Main Airport,Frankfurt,Germany,FRA,DLH,159,Tarde
2025-11-10,12:10,RYR1736,LONDRES /STANSTED (STN),No informado,RYANAIR DAC,Ireland,London Stansted Airport,London,United Kingdom,STN,RYR,170,Tarde
2025-11-10,12:10,IBB5804,TENERIFE NORTE-C. LA LAGUNA (TFN),No informado,Binter Canarias,Spain,Tenerife Norte Airport,Tenerife,Spain,TFN,IBB,97,Tarde
2025-11-10,12:15,RYR1710,OPORTO (OPO),No informado,RYANAIR DAC,Ireland,Francisco de Sá Carneiro Airport,Porto,Portugal,OPO,RYR,170,Tarde
2025-11-10,12:20,RYR138,BERLIN BRANDENBURG (BER),No informado,RYANAIR DAC,Ireland,NA,NA,NA,BER,RYR,170,Tarde
2025-11-10,12:20,RYR1768,LISBOA (LIS),No informado,RYANAIR DAC,Ireland,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,LIS,RYR,170,Tarde
2025-11-10,12:25,VLG8352,AMSTERDAM /SCHIPHOL (AMS),No informado,Vueling Airlines,Spain,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,VLG,152,Tarde
2025-11-10,12:30,RYR1740,DUBLIN (DUB),No informado,RYANAIR DAC,Ireland,Dublin Airport,Dublin,Ireland,DUB,RYR,170,Tarde
2025-11-10,12:45,RYR6836,NAPOLES (NAP),No informado,RYANAIR DAC,Ireland,Naples International Airport,Naples,Italy,NAP,RYR,170,Tarde
2025-11-10,12:45,IBE2391,SEVILLA (SVQ),No informado,Iberia Airlines,Spain,Sevilla Airport,Sevilla,Spain,SVQ,IBE,1,Tarde
2025-11-10,12:50,NIA6101,(CAI),No informado,Nile Air,Egypt,Cairo International Airport,Cairo,Egypt,CAI,NIA,NA,Tarde
2025-11-10,13:00,RYR952,PISA / GALILEO GALILEI (PSA),No informado,RYANAIR DAC,Ireland,Pisa International Airport,Pisa,Italy,PSA,RYR,170,Tarde
2025-11-10,13:35,RYR645,MALAGA-COSTA DEL SOL (AGP),No informado,RYANAIR DAC,Ireland,Málaga Airport,Malaga,Spain,AGP,RYR,170,Tarde
2025-11-10,13:45,IBE2313,BILBAO (BIO),No informado,Iberia Airlines,Spain,Bilbao Airport,Bilbao,Spain,BIO,IBE,1,Tarde
2025-11-10,14:00,EZS1371,GINEBRA (GVA),No informado,EasyJet Switzerland,Switzerland,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,EZS,155,Tarde
2025-11-10,14:10,WMT6317,MILAN /MALPENSA (MXP),No informado,Wizz Air Malta,Malta,Malpensa International Airport,Milano,Italy,MXP,WMT,198,Tarde
2025-11-10,14:20,RYR643,LONDRES /STANSTED (STN),No informado,RYANAIR DAC,Ireland,London Stansted Airport,London,United Kingdom,STN,RYR,170,Tarde
2025-11-10,14:30,TVF4624,PARIS /ORLY (ORY),No informado,Transavia France,France,Paris-Orly Airport,Paris,France,ORY,TVF,159,Tarde
2025-11-10,14:35,RYR618,TRIESTE (TRS),No informado,RYANAIR DAC,Ireland,Trieste–Friuli Venezia Giulia Airport,Ronchi De Legionari,Italy,TRS,RYR,170,Tarde
2025-11-10,14:40,RYR1687,BRUSELAS /CHARLEROI (CRL),No informado,RYANAIR DAC,Ireland,Brussels South Charleroi Airport,Charleroi,Belgium,CRL,RYR,170,Tarde
2025-11-10,14:55,RYR9001,PARIS /BEAUVAIS-TILLE (BVA),No informado,RYANAIR DAC,Ireland,Paris Beauvais Tillé Airport,Beauvais,France,BVA,RYR,170,Tarde
2025-11-10,15:00,VLG4143,(FAO),No informado,Vueling Airlines,Spain,Faro Airport,Faro,Portugal,FAO,VLG,152,Tarde
2025-11-10,15:15,RYR7215,PALMA DE MALLORCA (PMI),No informado,RYANAIR DAC,Ireland,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,RYR,170,Tarde
2025-11-10,15:25,EZS1031,BASEL /MULHOUSE (BSL),No informado,EasyJet Switzerland,Switzerland,EuroAirport Basel-Mulhouse-Freiburg Airport,Mulhouse,France,BSL,EZS,155,Tarde
2025-11-10,15:35,RYR9380,BIRMINGHAM / INTERNACIONAL (BHX),No informado,RYANAIR DAC,Ireland,Birmingham International Airport,Birmingham,United Kingdom,BHX,RYR,170,Tarde
2025-11-10,15:35,RYR2259,TURIN (TRN),No informado,RYANAIR DAC,Ireland,Turin Airport,Torino,Italy,TRN,RYR,170,Tarde
2025-11-10,15:40,RYR5372,FEZ /SAIS (FEZ),No informado,RYANAIR DAC,Ireland,Saïss Airport,Fes,Morocco,FEZ,RYR,170,Tarde
